trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776377287820_w0_0000,0,0,2026-04-16 17:08:07,314.52,ok,4.198019801980198,1.5643564356435644,0.3,16.425742574257427,16.247524752475247,101,0.8904900729343355,yolo26s.pt,1280,16,SGD,0.01,0.05,0.937,0.001,5.0,True,10.0,0.25,1.5,0.015,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.0,10,0.3,
1776377602863_w0_0001,0,0,2026-04-16 17:13:22,304.45,ok,4.356435643564357,1.5841584158415842,0.25,16.425742574257427,16.485148514851485,101,0.8913501970338765,yolo26s.pt,1280,16,SGD,0.003,0.05,0.937,0.0,5.0,True,10.0,1.0,1.5,0.015,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.2,10,0.0,
1776377907829_w0_0002,0,0,2026-04-16 17:18:27,306.54,ok,3.4554455445544554,1.4356435643564356,0.25,16.425742574257427,16.455445544554454,101,0.8938994172986524,yolo26s.pt,1280,16,auto,0.003,0.01,0.95,0.001,5.0,True,5.0,1.0,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.3,
1776378214911_w0_0003,0,0,2026-04-16 17:23:34,588.31,ok,3.722772277227723,1.4653465346534653,0.25,16.425742574257427,16.485148514851485,101,0.8946094531189014,yolo26m.pt,1280,16,SGD,0.01,0.05,0.95,0.001,1.0,True,10.0,0.25,0.5,0.0,0.3,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.3,
1776378803809_w0_0004,0,0,2026-04-16 17:33:23,301.46,ok,4.00990099009901,1.4554455445544554,0.25,16.425742574257427,16.514851485148515,101,0.8812395128010826,yolo26s.pt,1280,16,SGD,0.001,0.01,0.95,0.0,1.0,True,5.0,0.5,0.5,0.0,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.0,
1776379105780_w0_0005,0,0,2026-04-16 17:38:25,588.87,ok,4.891089108910891,1.6237623762376239,0.2,16.425742574257427,16.782178217821784,101,0.8809284999731672,yolo26m.pt,1280,16,SGD,0.001,0.1,0.937,0.001,5.0,True,10.0,0.25,1.5,0.0,0.3,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.25,0.0,0.0,5,0.3,
1776379695364_w0_0006,0,0,2026-04-16 17:48:15,583.43,ok,3.6435643564356437,1.4059405940594059,0.3,16.425742574257427,16.00990099009901,101,0.906091532700475,yolo26m.pt,1280,16,auto,0.001,0.01,0.937,0.0,1.0,True,7.5,0.25,0.5,0.015,0.5,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.0,10,0.2,
1776380279402_w0_0007,0,0,2026-04-16 17:57:59,588.46,ok,4.415841584158416,1.683168316831683,0.3,16.425742574257427,15.891089108910892,101,0.9064403186823162,yolo26m.pt,1280,16,auto,0.003,0.05,0.95,0.0,5.0,True,7.5,0.5,1.5,0.0,0.3,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.2,5,0.2,
1776380868518_w0_0008,0,0,2026-04-16 18:07:48,581.8,ok,4.97029702970297,1.7821782178217822,0.3,16.425742574257427,16.18811881188119,101,0.8809831833318392,yolo26m.pt,1280,16,SGD,0.01,0.05,0.937,0.0,1.0,True,10.0,0.25,1.5,0.0,0.5,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.3,
1776381450875_w0_0009,0,0,2026-04-16 18:17:30,587.22,ok,3.0792079207920793,1.316831683168317,0.25,16.425742574257427,16.356435643564357,101,0.8985083659893218,yolo26m.pt,1280,16,auto,0.001,0.01,0.937,0.0,1.0,True,7.5,0.25,0.5,0.0,0.3,0.4,0.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.3,
